pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,w_ij
1041,1035,DG Hilar Ectopic Granule,DG Basket,e,i,13.97108332568
1041,1041,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,e,e,36.289132734400006
1041,2000,DG Hilar Ectopic Granule,CA3 Pyramidal,e,e,1.0815884977755004
1041,2004,DG Hilar Ectopic Granule,CA3c Pyramidal,e,e,3.215933878920049
1041,2005,DG Hilar Ectopic Granule,CA3 LMR Targeting,e,i,0.6936896282839999
1041,2013,DG Hilar Ectopic Granule,CA3 Lucidum ORAX,e,i,4.774658693042158
1041,2019,DG Hilar Ectopic Granule,CA3 Spiny Lucidum,e,i,5.232342806847204
1041,2028,DG Hilar Ectopic Granule,CA3 Axo Axonic,e,i,5.947252494326641
1041,2035,DG Hilar Ectopic Granule,CA3 Mossy Fiber Associated ORDEN,e,i,3.1031150507166783
1041,2036,DG Hilar Ectopic Granule,CA3 Mossy Fiber Associated,e,i,1.7710538635066735
1041,2043,DG Hilar Ectopic Granule,CA3 Basket,e,i,5.892007634630496
1041,2044,DG Hilar Ectopic Granule,CA3 Basket CCK+,e,i,0.9864374864752801
2000,2000,CA3 Pyramidal,CA3 Pyramidal,e,e,266540.7126583063
2000,2001,CA3 Pyramidal,CA3 Granule,e,e,41592.496640621466
2000,2004,CA3 Pyramidal,CA3c Pyramidal,e,e,395693.84575883904
2000,2005,CA3 Pyramidal,CA3 LMR Targeting,e,i,29902.143850072167
2000,2009,CA3 Pyramidal,CA3 O LM,e,i,86845.92434621646
2000,2013,CA3 Pyramidal,CA3 Lucidum ORAX,e,i,96208.96061487973
2000,2020,CA3 Pyramidal,CA3 Trilaminar,e,i,185716.6008594153
2000,2028,CA3 Pyramidal,CA3 Axo Axonic,e,i,175688.4680010275
2000,2035,CA3 Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,203028.41063409072
2000,2036,CA3 Pyramidal,CA3 Mossy Fiber Associated,e,i,106324.98761268418
2000,2043,CA3 Pyramidal,CA3 Basket,e,i,177868.63874469043
2000,2044,CA3 Pyramidal,CA3 Basket CCK+,e,i,109382.14134671038
2000,2047,CA3 Pyramidal,CA3 Horizontal Axo Axonic,e,i,101282.42803019041
2000,3000,CA3 Pyramidal,CA2 Pyramidal,e,e,848693.1287684537
2000,3003,CA3 Pyramidal,CA2 Bistratified,e,i,468952.73982715176
2000,3006,CA3 Pyramidal,CA2 Basket,e,i,485909.8258273281
2000,3007,CA3 Pyramidal,CA2 Wide Arbor Basket,e,i,196409.19270127884
2000,3008,CA3 Pyramidal,CA2 SP SR,e,i,278151.1628942592
2000,4000,CA3 Pyramidal,CA1 Pyramidal,e,e,380827.98284731206
2000,4003,CA3 Pyramidal,CA1 Quadrilaminar,e,i,135430.70471760212
2000,4005,CA3 Pyramidal,CA1 LMR,e,i,32725.761933196078
2000,4006,CA3 Pyramidal,CA1 Perforant Path Associated,e,i,78833.5618303563
2000,4013,CA3 Pyramidal,CA1 Radial Trilaminar,e,i,48612.110393900584
2000,4015,CA3 Pyramidal,CA1 Schaffer Collateral Associated,e,i,127083.09531676587
2000,4023,CA3 Pyramidal,CA1 Back Projection,e,i,843714.0348847887
2000,4028,CA3 Pyramidal,CA1 Radiatum,e,i,77702.49045034703
2000,4033,CA3 Pyramidal,CA1 SO SO,e,i,1082066.7210632826
2000,4035,CA3 Pyramidal,CA1 Trilaminar,e,i,2030611.1265128772
2000,4036,CA3 Pyramidal,CA1 Axo Axonic,e,i,159502.00832572696
2000,4038,CA3 Pyramidal,CA1 Horizontal Axo Axonic,e,i,330795.00477235904
2000,4039,CA3 Pyramidal,CA1 Horizontal Basket,e,i,755237.5847063188
2000,4054,CA3 Pyramidal,CA1 Radiatum Giant,e,e,165936.03817408613
2000,4055,CA3 Pyramidal,CA1 Oriens Alveus,e,i,124756.44190094133
2000,4061,CA3 Pyramidal,CA1 R Receiving Apical Targeting,e,i,212463.56356371095
2000,4066,CA3 Pyramidal,CA1 OR LM,e,i,530494.5777978556
2000,4069,CA3 Pyramidal,CA1 O LM,e,i,1000047.2060714313
2000,4076,CA3 Pyramidal,CA1 Perforant Path Associated QuadD,e,i,584453.5674132234
2000,4078,CA3 Pyramidal,CA1 Basket,e,i,228141.63568381788
2000,4079,CA3 Pyramidal,CA1 Basket CCK+,e,i,156057.75447742542
