pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,v_ij
2004,2035,CA3c Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,57.0
2004,2036,CA3c Pyramidal,CA3 Mossy Fiber Associated,e,i,57.0
2004,2043,CA3c Pyramidal,CA3 Basket,e,i,58.0
2004,2044,CA3c Pyramidal,CA3 Basket CCK+,e,i,60.0
2004,2047,CA3c Pyramidal,CA3 Horizontal Axo Axonic,e,i,59.0
2004,3000,CA3c Pyramidal,CA2 Pyramidal,e,e,75.3
2004,3003,CA3c Pyramidal,CA2 Bistratified,e,i,72.7
2004,3006,CA3c Pyramidal,CA2 Basket,e,i,71.2
2004,3007,CA3c Pyramidal,CA2 Wide Arbor Basket,e,i,74.9
2004,3008,CA3c Pyramidal,CA2 SP SR,e,i,71.0
2004,4000,CA3c Pyramidal,CA1 Pyramidal,e,e,62.4
2004,4003,CA3c Pyramidal,CA1 Quadrilaminar,e,i,58.5
2004,4005,CA3c Pyramidal,CA1 LMR,e,i,53.1
2004,4006,CA3c Pyramidal,CA1 Perforant Path Associated,e,i,55.4
2004,4013,CA3c Pyramidal,CA1 Radial Trilaminar,e,i,57.0
2004,4015,CA3c Pyramidal,CA1 Schaffer Collateral Associated,e,i,60.6
2004,4023,CA3c Pyramidal,CA1 Back Projection,e,i,62.0
2004,4028,CA3c Pyramidal,CA1 Radiatum,e,i,55.8
2004,4033,CA3c Pyramidal,CA1 SO SO,e,i,59.0
2004,4035,CA3c Pyramidal,CA1 Trilaminar,e,i,64.0
2004,4036,CA3c Pyramidal,CA1 Axo Axonic,e,i,65.1
2004,4038,CA3c Pyramidal,CA1 Horizontal Axo Axonic,e,i,57.0
2004,4039,CA3c Pyramidal,CA1 Horizontal Basket,e,i,55.4
2004,4054,CA3c Pyramidal,CA1 Radiatum Giant,e,e,66.0
2004,4055,CA3c Pyramidal,CA1 Oriens Alveus,e,i,51.0
2004,4061,CA3c Pyramidal,CA1 R Receiving Apical Targeting,e,i,57.0
2004,4066,CA3c Pyramidal,CA1 OR LM,e,i,68.0
2004,4069,CA3c Pyramidal,CA1 O LM,e,i,60.0
2004,4076,CA3c Pyramidal,CA1 Perforant Path Associated QuadD,e,i,64.0
2004,4078,CA3c Pyramidal,CA1 Basket,e,i,57.0
2004,4079,CA3c Pyramidal,CA1 Basket CCK+,e,i,61.4
2004,4080,CA3c Pyramidal,CA1 Bistratified,e,i,64.0
2004,4081,CA3c Pyramidal,CA1 Ivy,e,i,71.0
2004,4083,CA3c Pyramidal,CA1 Oriens Bistratified,e,i,66.0
2004,4087,CA3c Pyramidal,CA1 O LMR,e,i,55.7
2004,4089,CA3c Pyramidal,CA1 Recurrent O LM,e,i,75.0
2004,5005,CA3c Pyramidal,SUB CA1 Projecting Pyramidal,e,e,60.0
2005,2000,CA3 LMR Targeting,CA3 Pyramidal,i,e,-37.5
2005,2001,CA3 LMR Targeting,CA3 Granule,i,e,-19.4
2005,2004,CA3 LMR Targeting,CA3c Pyramidal,i,e,-23.0
2005,2005,CA3 LMR Targeting,CA3 LMR Targeting,i,i,-24.0
2005,2013,CA3 LMR Targeting,CA3 Lucidum ORAX,i,i,-28.200000000000003
2005,2028,CA3 LMR Targeting,CA3 Axo Axonic,i,i,-22.5
2005,2035,CA3 LMR Targeting,CA3 Mossy Fiber Associated ORDEN,i,i,-33.0
