injection_seed,sender,receiver,edge_present,weight
LEC LVI Multipolar Pyramidal,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,1,304.0317537911717
LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,1,556.0635991085179
LEC LVI Multipolar Pyramidal,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,1,538.1000722266449
LEC LVI Multipolar Pyramidal,EC LIII Pyramidal Stellate,CA1 Pyramidal,1,5351.494110639728
LEC LVI Multipolar Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
MEC LII III Pyramidal Multiform,MEC LII III Pyramidal Multiform,MEC LV VI Pyramidal Polymorphic,1,1304.0113874450217
MEC LII III Pyramidal Multiform,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,1,86.77596588341953
MEC LII III Pyramidal Multiform,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,1,2246.3636143897743
MEC LII III Pyramidal Multiform,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,1,304.0317537911717
MEC LII III Pyramidal Multiform,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,1,556.0635991085179
MEC LII III Pyramidal Multiform,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,1,538.1000722266449
MEC LII III Pyramidal Multiform,EC LIII Pyramidal Stellate,CA1 Pyramidal,1,5351.494110639728
MEC LII III Pyramidal Multiform,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
MEC LII Oblique Pyramidal,MEC LII Oblique Pyramidal,MEC LIII Complex Pyramidal,1,455.4398944649327
MEC LII Oblique Pyramidal,MEC LIII Complex Pyramidal,MEC LII Stellate,1,1193.0847203135872
MEC LII Oblique Pyramidal,MEC LII Stellate,CA3 Granule,1,19640.6765649223
MEC LII Oblique Pyramidal,CA3 Granule,CA3c Pyramidal,1,2.280811281935155
MEC LII Oblique Pyramidal,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
MEC LII Oblique Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
MEC LII Stellate,MEC LII Stellate,CA3 Granule,1,19640.6765649223
MEC LII Stellate,CA3 Granule,CA3c Pyramidal,1,2.280811281935155
MEC LII Stellate,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
MEC LII Stellate,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
MEC LIII Bipolar Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,1,861.1914192115519
MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LII Stellate,1,1193.0847203135872
MEC LIII Bipolar Complex Pyramidal,MEC LII Stellate,CA3 Granule,1,19640.6765649223
MEC LIII Bipolar Complex Pyramidal,CA3 Granule,CA3c Pyramidal,1,2.280811281935155
MEC LIII Bipolar Complex Pyramidal,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
MEC LIII Bipolar Complex Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
MEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LII Stellate,1,1193.0847203135872
MEC LIII Complex Pyramidal,MEC LII Stellate,CA3 Granule,1,19640.6765649223
MEC LIII Complex Pyramidal,CA3 Granule,CA3c Pyramidal,1,2.280811281935155
MEC LIII Complex Pyramidal,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
MEC LIII Complex Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
MEC LV Multipolar Pyramidal,MEC LV Multipolar Pyramidal,MEC LIII Complex Pyramidal,1,457.2402797600769
MEC LV Multipolar Pyramidal,MEC LIII Complex Pyramidal,MEC LII Stellate,1,1193.0847203135872
MEC LV Multipolar Pyramidal,MEC LII Stellate,CA3 Granule,1,19640.6765649223
MEC LV Multipolar Pyramidal,CA3 Granule,CA3c Pyramidal,1,2.280811281935155
MEC LV Multipolar Pyramidal,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
MEC LV Multipolar Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
MEC LV Pyramidal,MEC LV Pyramidal,DG Granule,1,9568.736896643586
MEC LV Pyramidal,DG Granule,DG Mossy,1,44908.709978571016
