sender,receiver,inhibitory_weight,baseline_terminal_peak,ablated_terminal_peak,delta_terminal_peak
CA1 R Receiving Apical Targeting,CA1 Ivy,0.0002906015259503764,1.8954834973241436e-05,1.895483497107997e-05,-2.1614654510671016e-15
DG MOLAX,DG Hilar Ectopic Granule,0.003558536684145546,1.8954834973241436e-05,1.8954834970930784e-05,-2.310651670001107e-15
CA3 Spiny Lucidum,DG Semilunar Granule,6.664452809514978e-05,1.8954834973241436e-05,1.8954834970897824e-05,-2.3436114160446664e-15
DG HIPROM,DG Semilunar Granule,1.1865470465882542e-06,1.8954834973241436e-05,1.8954834970854456e-05,-2.3869795029440866e-15
DG HIPROM,DG Mossy,1.3167317652792805e-05,1.8954834973241436e-05,1.8954834970842313e-05,-2.3991225672759242e-15
CA3 Trilaminar,CA1 O LMR,0.0013940390403688852,1.8954834973241436e-05,1.8954834970842313e-05,-2.3991225672759242e-15
CA2 SP SR,CA2 Wide Arbor Basket,0.00029073163346396766,1.8954834973241436e-05,1.895483497083364e-05,-2.4077961846558082e-15
CA1 R Receiving Apical Targeting,CA1 Quadrilaminar,0.001259799717634732,1.8954834973241436e-05,1.8954834970686188e-05,-2.555247680113837e-15
CA1 Radiatum,CA1 Schaffer Collateral Associated,0.00010241917609755414,1.8954834973241436e-05,1.8954834970595982e-05,-2.645453300864631e-15
CA3 Trilaminar,CA3 Mossy Fiber Associated ORDEN,0.011564451991639961,1.8954834973241436e-05,1.8954834970439857e-05,-2.8015784137025435e-15
CA1 R Receiving Apical Targeting,CA1 Radiatum Giant,3.830909287221028e-05,1.8954834973241436e-05,1.8954834970372203e-05,-2.869232629265639e-15
CA1 Perforant Path Associated,CA1 Radiatum Giant,6.575188320691803e-05,1.8954834973241436e-05,1.895483497029067e-05,-2.950764632636549e-15
CA1 Neurogliaform Projecting,CA1 Basket CCK+,0.00018700303029449628,1.8954834973241436e-05,1.8954834970170975e-05,-3.0704605524789486e-15
CA3 Trilaminar,CA1 OR LM,0.0026446878780697334,1.8954834973241436e-05,1.8954834970105056e-05,-3.1363800445660672e-15
CA1 Schaffer Collateral Associated,CA1 Radial Trilaminar,0.00882065270040458,1.8954834973241436e-05,1.8954834969910767e-05,-3.3306690738754696e-15
CA3 LMR Targeting,CA3 Axo Axonic,0.011804643691023126,1.8954834973241436e-05,1.89548349697425e-05,-3.49893725104522e-15
CA1 Schaffer Collateral Associated,CA1 Radiatum,0.003019410508064378,1.8954834973241436e-05,1.8954834969487494e-05,-3.7539416020138106e-15
CA1 Schaffer Collateral Associated,CA1 O LM,0.0006193804740984829,1.8954834973241436e-05,1.895483496909718e-05,-4.144254384108592e-15
CA3 Trilaminar,CA3 Mossy Fiber Associated,0.005697657978819523,1.8954834973241436e-05,1.8954834968805748e-05,-4.435687928072696e-15
CA1 Neurogliaform,CA1 Axo Axonic,0.0013233176586831985,1.8954834973241436e-05,1.8954834968672174e-05,-4.56926163572291e-15
CA3 Trilaminar,CA1 Perforant Path Associated QuadD,0.023141109797482025,1.8954834973241436e-05,1.8954834968403292e-05,-4.838143774499315e-15
CA3 Trilaminar,CA2 Wide Arbor Basket,0.0004687329679042174,1.8954834973241436e-05,1.895483496831829e-05,-4.9231452248221785e-15
DG Total Molecular Layer,DG Hilar Ectopic Granule,0.00903042436406623,1.8954834973241436e-05,1.895483496822635e-05,-5.015085569048949e-15
CA1 Radiatum,CA1 OR LM,0.0002626819284353772,1.8954834973241436e-05,1.895483496804594e-05,-5.195496810550537e-15
CA1 Perforant Path Associated,DG Axo Axonic,0.0036316070473871053,1.8954834973241436e-05,1.8954834967941855e-05,-5.299580219109146e-15
CA3 LMR Targeting,CA3 Mossy Fiber Associated,0.0018903450418637452,1.8954834973241436e-05,1.895483496785859e-05,-5.3828469459560324e-15
CA1 Quadrilaminar,CA1 Axo Axonic,3.0172938562272523e-05,1.8954834973241436e-05,1.8954834967707668e-05,-5.533767888366015e-15
CA1 LMR,CA1 Radial Trilaminar,0.000938025023421124,1.8954834973241436e-05,1.8954834967395418e-05,-5.84601811404184e-15
