variant,seed_mode,eigenvalue,timestep,loading_rank,cell_type,initial_mode_loading,signal_real,signal_imag,signal_magnitude
no_self,32,(-0.034142873139736234+0.007141245355197298j),4,4,MEC LII III Pyramidal Multiform (E),(-0.07396255013752848+0.2624460391456134j),0.03786352861213921,-0.04167134771296939,0.056304067518941146
no_self,32,(-0.034142873139736234+0.007141245355197298j),4,5,EC LIII V Bipolar Pyramidal (E),(-0.08136488196462482-0.24110721609590657j),0.039264173978128356,-0.006314768261639998,0.03976872711544774
no_self,32,(-0.034142873139736234+0.007141245355197298j),5,1,MEC LIII Bipolar Complex Pyramidal (E),(0.005559175448389516+0.36051945129932256j),0.10279153487721714,0.04273681229970006,0.1113217623286388
no_self,32,(-0.034142873139736234+0.007141245355197298j),5,2,MEC LIII Complex Pyramidal (E),(0.02741075892669326-0.286221354242006j),0.055935206672940864,0.00614421952635637,0.05627165164745626
no_self,32,(-0.034142873139736234+0.007141245355197298j),5,3,LEC LVI Multipolar Pyramidal (E),(-0.0518107290981316+0.279645179298725j),0.1672442232645292,0.01899746367461296,0.16831973693368202
no_self,32,(-0.034142873139736234+0.007141245355197298j),5,4,MEC LII III Pyramidal Multiform (E),(-0.07396255013752848+0.2624460391456134j),0.08264618771940999,0.020702561950132082,0.08519969727558314
no_self,32,(-0.034142873139736234+0.007141245355197298j),5,5,EC LIII V Bipolar Pyramidal (E),(-0.08136488196462482-0.24110721609590657j),0.11725395840358052,0.014037736565680109,0.11809127321354454
no_self,32,(-0.034142873139736234+0.007141245355197298j),6,1,MEC LIII Bipolar Complex Pyramidal (E),(0.005559175448389516+0.36051945129932256j),0.02744730517493037,-0.04246257459700349,0.05056109969899632
no_self,32,(-0.034142873139736234+0.007141245355197298j),6,2,MEC LIII Complex Pyramidal (E),(0.02741075892669326-0.286221354242006j),0.05389489284820646,-0.00856961744823743,0.054571950838583655
no_self,32,(-0.034142873139736234+0.007141245355197298j),6,3,LEC LVI Multipolar Pyramidal (E),(-0.0518107290981316+0.279645179298725j),0.0830178226642674,-0.03643367828452995,0.09066075111787007
no_self,32,(-0.034142873139736234+0.007141245355197298j),6,4,MEC LII III Pyramidal Multiform (E),(-0.07396255013752848+0.2624460391456134j),0.039150421498836636,-0.025590665110402835,0.04677218879130374
no_self,32,(-0.034142873139736234+0.007141245355197298j),6,5,EC LIII V Bipolar Pyramidal (E),(-0.08136488196462482-0.24110721609590657j),0.059088681127925244,-0.026627675783521224,0.0648113057658149
