target,source,weight,absolute_weight,weight_share,cumulative_weight_share
MEC LV Pyramidal,MEC LIII Superficial Multipolar Interneuron,8185.940999916945,8185.940999916945,0.00066658527963455,0.9240664588847958
DG Mossy,DG HICAP,8111.670774538589,8111.670774538589,0.0006605374179467057,0.9247269963027425
CA3c Pyramidal,DG MOLAX,8104.509712843542,8104.509712843542,0.0006599542891026887,0.9253869505918452
CA3 Pyramidal,CA3 Horizontal Axo Axonic,7927.375641923004,7927.375641923004,0.0006455301729016836,0.9260324807647469
CA2 Pyramidal,CA3 Axo Axonic,7861.199255686899,7861.199255686899,0.0006401413965930288,0.9266726221613399
DG Semilunar Granule,DG HIPROM,7841.748198178194,7841.748198178194,0.0006385574872283316,0.9273111796485682
CA2 Pyramidal,CA1 Horizontal Basket,7760.900843079982,7760.900843079982,0.0006319740465699635,0.9279431536951382
CA3c Pyramidal,CA1 O LMR,7743.222931340349,7743.222931340349,0.0006305345253542062,0.9285736882204925
CA1 Pyramidal,CA1 Oriens Alveus,7579.454650844681,7579.454650844681,0.0006171987921684207,0.9291908870126608
CA3 Pyramidal,CA2 SP SR,7576.83767723962,7576.83767723962,0.0006169856906957441,0.9298078727033566
CA2 Pyramidal,DG HICAP,7551.636179925662,7551.636179925662,0.0006149335201347292,0.9304228062234914
EC LI II Pyramidal Fan,EC LI II Multipolar Pyramidal,7472.437106847604,7472.437106847604,0.0006084842999076265,0.9310312905233991
EC LIII Pyramidal Stellate,CA1 Quadrilaminar,7290.687762963591,7290.687762963591,0.0005936843597153443,0.9316249748831144
MEC LV Pyramidal,DG Basket,7227.579975689925,7227.579975689925,0.0005885454609586393,0.932213520344073
EC LI II Pyramidal Fan,DG HICAP,7198.115985087493,7198.115985087493,0.0005861461934321483,0.9327996665375051
CA3c Pyramidal,DG Granule,7159.489110348726,7159.489110348726,0.0005830007876566351,0.9333826673251617
CA2 Pyramidal,CA1 Axo Axonic,7159.1686028088525,7159.1686028088525,0.0005829746885669771,0.9339656420137287
CA2 Pyramidal,CA3 Lucidum ORAX,7148.972717023759,7148.972717023759,0.0005821444324758023,0.9345477864462045
DG Granule,CA3 Mossy Fiber Associated ORDEN,7078.544563306722,7078.544563306722,0.000576409432609557,0.935124195878814
CA1 Pyramidal,CA1 Basket,7061.742021617824,7061.742021617824,0.0005750411932158966,0.93569923707203
MEC LII Stellate,DG Axo Axonic,7031.814294876976,7031.814294876976,0.000572604163423161,0.9362718412354532
CA3c Pyramidal,CA1 O LM,6939.860346612322,6939.860346612322,0.0005651163073149728,0.9368369575427681
CA1 Pyramidal,EC LV Deep Pyramidal,6927.87660371489,6927.87660371489,0.0005641404651228004,0.9374010980078908
EC LIII Pyramidal Stellate,MEC LIII Superficial Multipolar Interneuron,6846.14497452735,6846.14497452735,0.0005574850175820086,0.9379585830254729
MEC LII Stellate,CA2 Wide Arbor Basket,6779.313278865657,6779.313278865657,0.0005520428790982896,0.9385106259045711
CA3 Pyramidal,CA3c Pyramidal,6774.278639391325,6774.278639391325,0.0005516329058817845,0.9390622588104529
CA2 Pyramidal,CA1 Bistratified,6767.796150234705,6767.796150234705,0.0005511050335397731,0.9396133638439926
MEC LII III Pyramidal Multiform,MEC LIII Superficial Multipolar Interneuron,6766.355290701629,6766.355290701629,0.0005509877036256217,0.9401643515476182
CA1 Pyramidal,CA1 Bistratified,6747.331037968798,6747.331037968798,0.0005494385491878019,0.940713790096806
EC LI II Pyramidal Fan,DG Granule,6731.854220776941,6731.854220776941,0.0005481782642045859,0.9412619683610106
CA1 Pyramidal,CA1 Basket CCK+,6573.981002668468,6573.981002668468,0.0005353225689044719,0.941797290929915
CA2 Pyramidal,CA1 Horizontal Axo Axonic,6573.291363151145,6573.291363151145,0.0005352664112128263,0.9423325573411279
CA2 Pyramidal,CA1 Schaffer Collateral Associated,6373.41002787654,6373.41002787654,0.0005189899738711571,0.942851547314999
