g,spectral_abscissa_J,numerical_abscissa_J
23.066546031290404,-0.64,10.588151134199304
23.354877856681536,-0.6355,10.733003023376796
23.643209682072666,-0.631,10.877854912554287
23.931541507463795,-0.6265000000000001,11.022706801731777
24.219873332854924,-0.622,11.167558690909269
24.508205158246056,-0.6174999999999999,11.31241058008676
24.796536983637186,-0.613,11.457262469264252
25.084868809028315,-0.6085,11.602114358441742
25.373200634419444,-0.604,11.746966247619234
25.661532459810577,-0.5994999999999999,11.891818136796726
25.949864285201706,-0.595,12.036670025974217
26.238196110592835,-0.5905,12.181521915151707
26.526527935983964,-0.5860000000000001,12.326373804329199
26.814859761375097,-0.5814999999999999,12.47122569350669
27.103191586766226,-0.577,12.616077582684182
27.391523412157355,-0.5725,12.760929471861672
27.679855237548487,-0.568,12.905781361039166
27.968187062939617,-0.5634999999999999,13.050633250216656
28.256518888330746,-0.5589999999999999,13.195485139394147
28.544850713721875,-0.5545,13.340337028571637
28.833182539113007,-0.5499999999999999,13.48518891774913
29.121514364504137,-0.5455,13.63004080692662
29.409846189895266,-0.5409999999999999,13.774892696104112
29.698178015286395,-0.5365,13.919744585281602
29.986509840677527,-0.532,14.064596474459096
30.274841666068657,-0.5275,14.209448363636586
30.563173491459786,-0.5229999999999999,14.354300252814078
30.851505316850915,-0.5185,14.49915214199157
31.139837142242047,-0.514,14.644004031169061
31.428168967633177,-0.5095,14.788855920346553
31.716500793024306,-0.505,14.933707809524043
32.004832618415435,-0.5005,15.078559698701532
32.29316444380657,-0.496,15.223411587879028
32.5814962691977,-0.49149999999999994,15.36826347705652
32.869828094588826,-0.487,15.513115366234008
33.15815991997996,-0.48249999999999993,15.6579672554115
33.446491745371084,-0.478,15.802819144588991
33.73482357076222,-0.4734999999999999,15.947671033766483
34.02315539615335,-0.469,16.092522922943974
34.311487221544475,-0.4645,16.237374812121462
34.59981904693561,-0.45999999999999996,16.382226701298958
34.88815087232674,-0.4554999999999999,16.52707859047645
35.176482697717866,-0.45099999999999996,16.671930479653938
35.464814523109,-0.4464999999999999,16.81678236883143
35.753146348500124,-0.44200000000000006,16.96163425800892
36.04147817389126,-0.4375,17.106486147186413
36.32980999928239,-0.43299999999999994,17.251338036363904
36.618141824673515,-0.4285,17.396189925541393
36.90647365006465,-0.42399999999999993,17.541041814718888
37.19480547545578,-0.4194999999999999,17.68589370389638
37.483137300846906,-0.41500000000000004,17.830745593073868
37.77146912623804,-0.4105,17.97559748225136
38.05980095162917,-0.4059999999999999,18.120449371428855
38.3481327770203,-0.40149999999999997,18.265301260606343
38.63646460241143,-0.3969999999999999,18.410153149783834
38.924796427802555,-0.39249999999999996,18.555005038961323
39.21312825319369,-0.388,18.699856928138818
39.50146007858482,-0.38349999999999995,18.84470881731631
39.789791903975946,-0.379,18.989560706493798
40.07812372936708,-0.37449999999999994,19.13441259567129
40.36645555475821,-0.3699999999999999,19.279264484848785
40.65478738014934,-0.36549999999999994,19.424116374026273
40.94311920554047,-0.361,19.568968263203764
41.231451030931595,-0.35650000000000004,19.713820152381253
41.51978285632273,-0.352,19.858672041558748
