target,source,i,j,weight,dalpha_dAij,domega_dAij,elasticity_alpha,elasticity_omega,priority,dG_dAij,elasticity_G
CA3 Pyramidal,CA1 Oriens Alveus,14,49,0.011542902930480924,-3.6125269734202753e-07,0.032916698615831366,-4.169904818793428e-09,0.00037995425691443726,0.00037995425691443726,,
CA3 Pyramidal,CA2 Bistratified,14,31,0.026684047960197008,-1.865427358649283e-07,0.013993182526397526,-4.9777153104461085e-09,0.00037339475365018234,0.00037339475365018234,,
EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,62,63,0.001598739371133099,0.23110489121744826,3.974018206913734e-07,0.00036947648845076647,6.353419368992749e-10,0.00036947648845076647,,
CA3 Pyramidal,CA2 Basket,14,29,0.02549360301537698,-1.3104491500821473e-06,0.014252407680420277,-3.340807040403243e-08,0.0003633452234179444,0.0003633452234179444,,
CA3c Pyramidal,CA1 Back Projection,15,37,0.014539324951355053,-1.1031060494969082e-05,0.024834427460117124,-1.60384173094411e-07,0.000361075810823498,0.000361075810823498,,
CA3 Pyramidal,CA1 LMR,14,43,0.008089213892102475,-1.9545685695133103e-07,0.04105003552154025,-1.5810923225573932e-09,0.0003320625176121434,0.0003320625176121434,,
MEC LIII Superficial Multipolar Interneuron,EC LI II Multipolar Pyramidal,83,62,-2.5053869149981565e-05,12.476843405880885,1.4107763049041571e-07,-0.00031259320209575,-3.534540494296325e-12,0.00031259320209575,,
EC LIII Pyramidal Stellate,CA1 Perforant Path Associated QuadD,73,53,0.027607008389096594,2.523298798670353e-08,0.011136277766151116,6.966073110308979e-10,0.00030743931371344374,0.00030743931371344374,,
EC LIII Pyramidal Stellate,CA1 Perforant Path Associated,73,52,0.03457445875926096,-6.274048994680524e-06,0.00849552014324726,-2.1692184822016448e-07,0.0002937280108311732,0.0002937280108311732,,
CA3c Pyramidal,DG Axo Axonic,15,5,0.0231747944046998,-7.898565919673747e-08,0.010433027467724064,-1.8304764128040767e-09,0.00024178326658309094,0.00024178326658309094,,
EC LII III Pyramidal Tripolar,EC LII III Pyramidal Tripolar,67,67,0.0013558788416773257,0.17511213288896,1.5045306373930033e-07,0.000237430835905129,2.039961257896474e-10,0.000237430835905129,,
CA1 Pyramidal,CA1 Perforant Path Associated QuadD,33,53,0.01023069939166478,1.855806714432726e-08,0.02250161099311056,1.8986200624394302e-10,0.00023020721789869373,0.00023020721789869373,,
CA2 Pyramidal,CA1 OR LM,28,51,0.019339179786394836,-7.288263470111123e-07,0.011113226532564925,-1.4094903757909292e-08,0.00021492068592020636,0.00021492068592020636,,
CA3c Pyramidal,CA2 Wide Arbor Basket,15,30,0.021166608625971448,-1.8043431418761795e-05,0.009828630721032235,-3.8191825111048764e-07,0.00020803877980128888,0.00020803877980128888,,
CA3 Pyramidal,CA1 Recurrent O LM,14,47,0.04028324021145778,-2.061024154564513e-07,0.005057675119088698,-8.302473109993898e-09,0.00020373954173376335,0.00020373954173376335,,
CA3c Pyramidal,CA1 Horizontal Basket,15,39,0.010514984538727203,-1.6177244260053506e-06,0.018378375873448274,-1.70103473273676e-08,0.00019324833815622565,0.00019324833815622565,,
CA3 Pyramidal,CA3 Pyramidal,14,14,0.0019519546121769752,0.001813551575298899,0.09722895176003937,3.539970361825505e-06,0.00018978650082514148,0.00018978650082514148,,
CA3c Pyramidal,CA1 Horizontal Axo Axonic,15,36,0.010605196550542385,-7.047835691921848e-08,0.01762862853572653,-7.474368276875908e-10,0.00018695507053788005,0.00018695507053788005,,
MEC LIII Complex Pyramidal,EC LI II Multipolar Pyramidal,70,62,0.00032868661349782564,0.5497776733418789,1.3158900765001317e-08,0.00018070456162745598,4.32515452980223e-12,0.00018070456162745598,,
