method,seed,step,edge_type,sender,receiver,weight
greedy_tree_path,EC LI II Multipolar Pyramidal,5,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,EC LI II Multipolar Pyramidal,6,transition,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
greedy_tree_path,EC LI II Multipolar Pyramidal,7,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,EC LI II Multipolar Pyramidal,8,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,EC LI II Multipolar Pyramidal,9,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,EC LI II Multipolar Pyramidal,10,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,EC LI II Multipolar Pyramidal,11,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,EC LI II Multipolar Pyramidal,12,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,EC LI II Multipolar Pyramidal,13,transition,EC LIII Pyramidal Stellate,SUB CA1 Projecting Pyramidal,389.79456390732304
greedy_tree_path,EC LI II Multipolar Pyramidal,14,transition,SUB CA1 Projecting Pyramidal,CA1 Radiatum Giant,8.28772603741471
greedy_tree_path,EC LI II Pyramidal Fan,1,transition,EC LI II Pyramidal Fan,EC LI II Multipolar Pyramidal,7472.437106847604
greedy_tree_path,EC LI II Pyramidal Fan,2,transition,EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,30698.001365671505
greedy_tree_path,EC LI II Pyramidal Fan,3,transition,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,861.1914192115519
greedy_tree_path,EC LI II Pyramidal Fan,4,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
