edge_label,source_node,target_node,source_idx,target_idx,original_weight
CA3 Basket→CA3 Mossy Fiber Associated ORDEN,CA3 Basket,CA3 Mossy Fiber Associated ORDEN,17,21,-9496.353522
CA3 LMR Targeting→CA3 Pyramidal,CA3 LMR Targeting,CA3 Pyramidal,18,13,-6333.728912
CA3 LMR Targeting→CA3c Pyramidal,CA3 LMR Targeting,CA3c Pyramidal,18,14,-440.68837
CA3 LMR Targeting→CA3 Granule,CA3 LMR Targeting,CA3 Granule,18,15,-2862.115677
CA3 LMR Targeting→CA3 Axo Axonic,CA3 LMR Targeting,CA3 Axo Axonic,18,16,-2438.593873
CA3 LMR Targeting→CA3 Basket,CA3 LMR Targeting,CA3 Basket,18,17,-2658.769866
CA3 LMR Targeting→CA3 Lucidum ORAX,CA3 LMR Targeting,CA3 Lucidum ORAX,18,19,-466.1186612
CA3 LMR Targeting→CA3 Mossy Fiber Associated ORDEN,CA3 LMR Targeting,CA3 Mossy Fiber Associated ORDEN,18,21,-377.582895
CA3 Lucidum ORAX→CA3 Pyramidal,CA3 Lucidum ORAX,CA3 Pyramidal,19,13,-9.745853616
CA3 Lucidum ORAX→CA3c Pyramidal,CA3 Lucidum ORAX,CA3c Pyramidal,19,14,-8.741902847
CA3 Lucidum ORAX→CA3 Granule,CA3 Lucidum ORAX,CA3 Granule,19,15,-0.504755192
CA3 Lucidum ORAX→CA3 Axo Axonic,CA3 Lucidum ORAX,CA3 Axo Axonic,19,16,-4.951628409
CA3 Lucidum ORAX→CA3 Basket,CA3 Lucidum ORAX,CA3 Basket,19,17,-4.693148994
CA3 Lucidum ORAX→CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 LMR Targeting,19,18,-1.526711639
CA3 Lucidum ORAX→CA3 Spiny Lucidum,CA3 Lucidum ORAX,CA3 Spiny Lucidum,19,20,-11.4227317
CA3 Lucidum ORAX→CA3 Mossy Fiber Associated ORDEN,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated ORDEN,19,21,-8.659663626
CA3 Lucidum ORAX→CA3 Trilaminar,CA3 Lucidum ORAX,CA3 Trilaminar,19,22,-3.772921935
CA3 Lucidum ORAX→CA2 Wide Arbor Basket,CA3 Lucidum ORAX,CA2 Wide Arbor Basket,19,24,-0.800572704
CA3 Spiny Lucidum→DG Granule,CA3 Spiny Lucidum,DG Granule,20,0,-598.6907983
CA3 Spiny Lucidum→DG Semilunar Granule,CA3 Spiny Lucidum,DG Semilunar Granule,20,1,-758.9987819
CA3 Spiny Lucidum→DG AIPRIM,CA3 Spiny Lucidum,DG AIPRIM,20,3,-300.8673248
CA3 Spiny Lucidum→DG Axo Axonic,CA3 Spiny Lucidum,DG Axo Axonic,20,4,-537.707866
CA3 Spiny Lucidum→DG Basket,CA3 Spiny Lucidum,DG Basket,20,5,-689.8718978
CA3 Spiny Lucidum→DG HICAP,CA3 Spiny Lucidum,DG HICAP,20,6,-396.4168161
CA3 Spiny Lucidum→DG HIPROM,CA3 Spiny Lucidum,DG HIPROM,20,8,-70.77830968
CA3 Spiny Lucidum→DG MOLAX,CA3 Spiny Lucidum,DG MOLAX,20,9,-411.3566062
CA3 Spiny Lucidum→DG MOPP,CA3 Spiny Lucidum,DG MOPP,20,10,-673.3246295
CA3 Spiny Lucidum→DG Neurogliaform,CA3 Spiny Lucidum,DG Neurogliaform,20,11,-250.6976545
CA3 Spiny Lucidum→DG Total Molecular Layer,CA3 Spiny Lucidum,DG Total Molecular Layer,20,12,-246.1158009
CA3 Spiny Lucidum→CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Pyramidal,20,13,-471.9910301
CA3 Spiny Lucidum→CA3c Pyramidal,CA3 Spiny Lucidum,CA3c Pyramidal,20,14,-278.5529166
