mode,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,cell_index,cell_type,region,ei,loading_rank,loading_real,loading_imag,loading_magnitude,energy_fraction
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,81,MEC LV Pyramidal (E),MEC,e,60,-0.013197448394680535,-0.02407870926419212,0.027458275327480918,0.0007539568839597473
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,62,EC LI II Pyramidal Fan (E),EC,e,61,-0.016879886067853348,0.02140829742136952,0.027262533854092257,0.0007432457521455264
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,65,EC LIII Pyramidal Stellate (E),EC,e,62,-0.0174903217922815,0.02072100607214577,0.027115889235639293,0.000735271449039459
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,11,CA1 O LM (I),CA1,i,63,-0.022898542454071764,-0.010058799381063053,0.025010451645450172,0.0006255226915094012
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,79,MEC LIII Superficial Trilayered Interneuron (I),MEC,i,64,0.008635671899429426,-0.022971253021178552,0.0245408495068447,0.0006022532945175998
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,46,CA3c Pyramidal (E),CA3,e,65,0.016330048414927203,-0.015398870144295402,0.022445393357095323,0.0005037956829547389
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,67,EC LIII V Bipolar Pyramidal (E),EC,e,66,0.017708716046039446,0.006275259082905219,0.01878769545625113,0.0003529775005568394
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,33,CA3 Axo Axonic (I),CA3,i,67,0.014543710525679552,0.01051011117926475,0.017943855573852238,0.00032198195285526804
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,32,CA2 Wide Arbor Basket (I),CA2,i,68,-0.00517605320515541,-0.01694801526808097,0.017720799877818872,0.00031402674830970534
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,84,SUB CA1 Projecting Pyramidal (E),SUB,e,69,-0.017061993479726437,0.004076498152399736,0.01754221932050634,0.00030772945868874597
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,31,CA2 SP SR (I),CA2,i,70,0.017293010331515656,-0.0023156403917834714,0.0174473607388042,0.00030441039674996624
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,47,DG AIPRIM (I),DG,i,71,-0.012654496526903446,0.009129866829440824,0.015604190163950682,0.0002434907506727352
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,29,CA2 Bistratified (I),CA2,i,72,0.014217719972082505,0.005458950383085847,0.015229697977620794,0.0002319437004895469
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,72,LEC LVI Multipolar Pyramidal (E),LEC,e,73,0.013575491709082881,-0.0067002640779202675,0.015138940314871672,0.0002291875138572468
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,76,MEC LIII Bipolar Complex Pyramidal (E),MEC,e,74,-0.006294212039433703,0.010748978111290403,0.012456228788616255,0.0001551576356343524
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,45,CA3 Trilaminar (I),CA3,i,75,-0.011744305041433088,-0.0025258911344381266,0.012012860896941402,0.00014430882692926378
