Presynaptic,Postsynaptic,wij
CA3 Trilaminar,CA1 Oriens Bistratified,-342.3900395412
CA3 Trilaminar,CA1 OR LM,-528.7711221821953
CA3 Trilaminar,CA1 Perforant Path Associated,-122.69805776836608
CA3 Trilaminar,CA1 Perforant Path Associated QuadD,-1637.045385389568
CA3 Trilaminar,CA1 Radiatum,-233.895389112
CA3 Trilaminar,CA1 R Receiving Apical Targeting,-354.31826656844794
CA3 Trilaminar,CA1 Schaffer Collateral Associated,-601.7736217030638
CA3 Trilaminar,CA1 SO SO,-611.5928071991921
CA3 Trilaminar,CA1 Trilaminar,-709.75535915592
CA3 Trilaminar,CA1 Radial Trilaminar,-1162.1359459557118
CA2 Basket,CA2 Basket,-5327.324146106914
CA2 Basket,CA2 Wide Arbor Basket,-4425.022201373293
CA2 Basket,CA2 Bistratified,-8982.065675607737
CA2 Basket,CA2 SP SR,-2453.7603815894936
CA2 Wide Arbor Basket,CA3 Pyramidal,-15248.683221215531
CA2 Wide Arbor Basket,CA3c Pyramidal,-12050.823596977549
CA2 Wide Arbor Basket,CA3 Axo Axonic,-6434.414177884142
CA2 Wide Arbor Basket,CA3 Basket,-5965.263938698957
CA2 Wide Arbor Basket,CA3 Mossy Fiber Associated ORDEN,-11098.20100912166
CA2 Wide Arbor Basket,CA2 Basket,-5778.399772405079
CA2 Wide Arbor Basket,CA2 Wide Arbor Basket,-4827.875244048964
CA2 Wide Arbor Basket,CA2 Bistratified,-9875.04578100517
CA2 Wide Arbor Basket,CA2 SP SR,-2735.036449203952
CA2 Wide Arbor Basket,CA1 Pyramidal,-3863.998119327476
CA2 Wide Arbor Basket,CA1 Radiatum Giant,-5490.969402052292
CA2 Wide Arbor Basket,CA1 Axo Axonic,-3165.0194391383
CA2 Wide Arbor Basket,CA1 Basket,-3320.059957350824
CA2 Wide Arbor Basket,CA1 Basket CCK+,-11428.70911002828
CA2 Wide Arbor Basket,CA1 Horizontal Basket,-4067.732240893155
CA2 Wide Arbor Basket,CA1 Ivy,-4552.783056234155
CA2 Wide Arbor Basket,CA1 OR LM,-2350.132004602641
CA2 Wide Arbor Basket,CA1 Radial Trilaminar,-4892.897856692788
CA2 Bistratified,CA2 Basket,-701.267708424192
CA2 Bistratified,CA2 Wide Arbor Basket,-544.7024079955199
CA2 Bistratified,CA2 Bistratified,-1392.306988893504
CA2 Bistratified,CA2 SP SR,-317.2433699635199
CA2 Bistratified,CA1 Pyramidal,-11.396674469312
CA2 Bistratified,CA1 Radiatum Giant,-7.34134338561792
CA2 Bistratified,CA1 Axo Axonic,-6.865304195711692
CA2 Bistratified,CA1 Horizontal Axo Axonic,-3.4514053563023994
CA2 Bistratified,CA1 Basket,-13.24449342160896
CA2 Bistratified,CA1 Basket CCK+,-14.454535016527872
CA2 Bistratified,CA1 Horizontal Basket,-32.372136360598
CA2 Bistratified,CA1 Ivy,-5.6698359102
CA2 Bistratified,CA1 LMR,-2.6348048018626558
CA2 Bistratified,CA1 Recurrent O LM,-15.65555933436288
CA2 Bistratified,CA1 O LMR,-5.183377197653491
CA2 Bistratified,CA1 Oriens Alveus,-8.59939849849293
CA2 Bistratified,CA1 Oriens Bistratified,-4.729814630217601
CA2 Bistratified,CA1 OR LM,-12.465886354758146
CA2 Bistratified,CA1 Perforant Path Associated,-2.70015714373632
CA2 Bistratified,CA1 Perforant Path Associated QuadD,-29.96979308907091
CA2 Bistratified,CA1 Radiatum,-4.749411117696
CA2 Bistratified,CA1 R Receiving Apical Targeting,-9.506003523140736
CA2 Bistratified,CA1 SO SO,-16.859526437644803
CA2 Bistratified,CA1 Trilaminar,-16.906057070031363
CA2 Bistratified,CA1 Radial Trilaminar,-12.43369948586496
CA2 SP SR,CA2 Basket,-156.67222431744003
CA2 SP SR,CA2 Wide Arbor Basket,-106.08520226171402
CA2 SP SR,CA2 Bistratified,-378.2645885241599
CA2 SP SR,CA2 SP SR,-101.47024742400002
CA1 Pyramidal,CA1 Pyramidal,96170.5857912404
CA1 Pyramidal,CA1 Axo Axonic,50979.62872911275
CA1 Pyramidal,CA1 Horizontal Axo Axonic,34139.20669267882
CA1 Pyramidal,CA1 Basket,42387.40709254397
CA1 Pyramidal,CA1 Basket CCK+,52663.470341011525
CA1 Pyramidal,CA1 Horizontal Basket,111130.94343586842
CA1 Pyramidal,CA1 Ivy,78455.60288830579
CA1 Pyramidal,CA1 Recurrent O LM,172923.81420279422
CA1 Pyramidal,CA1 O LMR,45331.42551755646
CA1 Pyramidal,CA1 Oriens Alveus,48773.83945202497
CA1 Pyramidal,CA1 Oriens Bistratified,54313.14416010604
CA1 Pyramidal,CA1 OR LM,76314.98468901217
CA1 Pyramidal,CA1 Perforant Path Associated QuadD,50774.80379330661
CA1 Pyramidal,CA1 SO SO,92632.40646962484
CA1 Pyramidal,CA1 Trilaminar,133386.20012865638
CA1 Pyramidal,CA1 Radial Trilaminar,35009.97556462689
CA1 Pyramidal,LEC LIII Multipolar Principal,82548.25544401599
CA1 Pyramidal,EC LIII V Bipolar Pyramidal,309145.2458258123
CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,280911.9092675947
CA1 Pyramidal,EC LV Deep Pyramidal,347496.09626192943
CA1 Pyramidal,MEC LV Multipolar Pyramidal,183361.24511820005
CA1 Pyramidal,MEC LV Pyramidal,156562.72620245616
CA1 Pyramidal,MEC LV Superficial Pyramidal,68085.27579632982
CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,234917.3182963417
CA1 Pyramidal,LEC LVI Multipolar Pyramidal,282246.3868864678
CA1 Radiatum Giant,CA1 Pyramidal,1808.126274584448
CA1 Radiatum Giant,CA1 Axo Axonic,1022.707708512376
