null_id,spectral_radius,max_real_eigenvalue,chain_count,divergent_count,convergent_count,reciprocal_count,chain_score_sum,chain_abs_score_sum,divergent_score_sum,divergent_abs_score_sum,convergent_score_sum,convergent_abs_score_sum,reciprocal_score_sum,reciprocal_abs_score_sum
31,1.301257370143046,1.301257370143046,28355,14562,14342,199,410.7557663932055,502.7840400187371,2679.9634165737452,2679.9634165737452,1131.6640207739,1205.2706569922545,1.0045324879977515,1.0886298952681865
32,0.9312540246041675,0.9312540246041675,28163,14598,14418,184,390.40782792916417,478.5054276346265,4554.4051868546785,4554.4051868546785,1576.3110886956697,1638.8310201392364,0.16964148209153987,0.24999446213918206
33,0.905616165902389,0.905616165902389,28132,14629,14282,186,318.4388260546704,396.65221285559204,3153.113353551346,3153.113353551346,1365.7951758134784,1422.0317147164903,0.13727358771989592,0.26738410116039957
34,0.9126155914340763,0.9126155914340763,28206,14610,14429,173,456.8216746532443,532.8359999468856,2453.8870686604746,2453.8870686604746,1311.201969372188,1376.5987151384043,-0.050498353409537546,0.19336981453970598
35,1.1047460096736408,1.1047460096736408,28103,14579,14280,181,377.4304898836385,457.3077523755623,3008.1787910687935,3008.1787910687935,1819.5426475720458,1876.5954666059881,0.1342945982959987,0.30505282324205363
36,0.8904824458686679,0.8392224202085052,28305,14607,14357,174,358.0171687120633,458.37803883262586,4538.082951292424,4538.082951292424,1321.243066363907,1379.1801926792855,0.2057273411267772,0.34633268346622464
37,0.8359734574815194,0.8359734574815194,28317,14364,14312,178,475.9579887905115,554.1058294250959,4554.611186549529,4554.611186549529,1743.6058871002992,1823.2685120559424,0.06708722635003231,0.13005515015890326
38,0.9400510327196487,0.9400510327196487,28193,14641,14239,171,353.1940541277929,427.1933523100409,2644.1720879846453,2644.1720879846453,1412.719491256433,1472.725247625323,0.00217190770789293,0.20802502430273107
39,0.9099676556544697,0.7705294657531482,28243,14792,14496,199,407.34247850506324,475.21291357546545,2990.3743518194683,2990.3743518194683,2869.042793617076,2927.1523557580426,0.13375859713245475,0.22971413390861467
40,1.1843128032019157,1.1843128032019157,28091,14596,14560,190,314.95795024530355,403.5822252860879,5059.962529321485,5059.962529321485,2157.328626544474,2210.6917054906035,1.0369792064517525,1.560420258469908
41,0.8561391122757595,0.8561391122757595,28251,14690,14332,183,476.34309702944876,547.2299271676886,3352.124636117625,3352.124636117625,1698.236536610721,1771.4822173291495,0.06210051302576433,0.1834391975757266
