seed_mode,eigenvalue,timestep,loading_rank,cell_type,initial_mode_loading,signal_real,signal_imag,signal_magnitude
49,(0.0009670108373188811-1.1272792367362226e-18j),4,2,DG Hilar Ectopic Granule,(-0.15709212778524034-0.2653139155745572j),-0.005749709132144227,-0.009710721121235551,0.011285267378253513
49,(0.0009670108373188811-1.1272792367362226e-18j),4,3,DG Basket,(0.1494277439373766+0.252369487882273j),-0.010540489325018713,-0.01780190092475957,0.02068839268154462
49,(0.0009670108373188811-1.1272792367362226e-18j),4,4,CA1 OR LM,(-0.11535043192135372-0.19481609414641957j),-0.020191719383600544,-0.034101926095045504,0.03963138775084738
49,(0.0009670108373188811-1.1272792367362226e-18j),4,5,MEC LV Pyramidal,(0.11099822798901506+0.18746562863966723j),-0.0021453491963179354,-0.003623294200508704,0.004210793753864231
49,(0.0009670108373188811-1.1272792367362226e-18j),5,1,MEC LIII Superficial Trilayered Interneuron,(-0.16172185726613084-0.2731330957839263j),-0.018675702424173726,-0.03154151519951786,0.03665581866658695
49,(0.0009670108373188811-1.1272792367362226e-18j),5,2,DG Hilar Ectopic Granule,(-0.15709212778524034-0.2653139155745572j),-0.00532470324602282,-0.00899292591800763,0.010451085169731388
49,(0.0009670108373188811-1.1272792367362226e-18j),5,3,DG Basket,(0.1494277439373766+0.252369487882273j),-0.00991522770442619,-0.016745892510100547,0.019461157632331697
49,(0.0009670108373188811-1.1272792367362226e-18j),5,4,CA1 OR LM,(-0.11535043192135372-0.19481609414641957j),-0.027450084701091223,-0.04636062645262601,0.05387777682103271
49,(0.0009670108373188811-1.1272792367362226e-18j),5,5,MEC LV Pyramidal,(0.11099822798901506+0.18746562863966723j),-0.0038232210424279985,-0.006457062866067506,0.00750404424264757
49,(0.0009670108373188811-1.1272792367362226e-18j),6,1,MEC LIII Superficial Trilayered Interneuron,(-0.16172185726613084-0.2731330957839263j),-0.017689494958642665,-0.02987590300151762,0.03472013554190038
49,(0.0009670108373188811-1.1272792367362226e-18j),6,2,DG Hilar Ectopic Granule,(-0.15709212778524034-0.2653139155745572j),-0.00536749471508355,-0.009065196708210536,0.010535074317488274
49,(0.0009670108373188811-1.1272792367362226e-18j),6,3,DG Basket,(0.1494277439373766+0.252369487882273j),-0.009995385771121596,-0.016881271989898108,0.019618488237131283
49,(0.0009670108373188811-1.1272792367362226e-18j),6,4,CA1 OR LM,(-0.11535043192135372-0.19481609414641957j),-0.03033949878273428,-0.05124057667371535,0.05954898726462471
49,(0.0009670108373188811-1.1272792367362226e-18j),6,5,MEC LV Pyramidal,(0.11099822798901506+0.18746562863966723j),-0.0038962954706839147,-0.006580478742867223,0.0076474714043400895
49,(0.0009670108373188811-1.1272792367362226e-18j),7,1,MEC LIII Superficial Trilayered Interneuron,(-0.16172185726613084-0.2731330957839263j),-0.016783520525718514,-0.02834579689373,0.03294193016169222
49,(0.0009670108373188811-1.1272792367362226e-18j),7,2,DG Hilar Ectopic Granule,(-0.15709212778524034-0.2653139155745572j),-0.005756201725522129,-0.009721686504387516,0.011298010745015881
49,(0.0009670108373188811-1.1272792367362226e-18j),7,3,DG Basket,(0.1494277439373766+0.252369487882273j),-0.01039858811094961,-0.01756224304208754,0.020409875437408596
49,(0.0009670108373188811-1.1272792367362226e-18j),7,4,CA1 OR LM,(-0.11535043192135372-0.19481609414641957j),-0.029286934806694913,-0.04946289453385979,0.057483062601424904
49,(0.0009670108373188811-1.1272792367362226e-18j),7,5,MEC LV Pyramidal,(0.11099822798901506+0.18746562863966723j),-0.0038322812372307753,-0.0064723646879530595,0.007521827180618599
49,(0.0009670108373188811-1.1272792367362226e-18j),8,1,MEC LIII Superficial Trilayered Interneuron,(-0.16172185726613084-0.2731330957839263j),-0.01593876736542073,-0.026919087791164538,0.03128388710882049
49,(0.0009670108373188811-1.1272792367362226e-18j),8,2,DG Hilar Ectopic Granule,(-0.15709212778524034-0.2653139155745572j),-0.005558939916625975,-0.009388529753317812,0.01091083424517078
49,(0.0009670108373188811-1.1272792367362226e-18j),8,3,DG Basket,(0.1494277439373766+0.252369487882273j),-0.009970503783460101,-0.016839248639225986,0.019569651004288924
49,(0.0009670108373188811-1.1272792367362226e-18j),8,4,CA1 OR LM,(-0.11535043192135372-0.19481609414641957j),-0.028687110982512858,-0.048449848178881365,0.05630575570116845
49,(0.0009670108373188811-1.1272792367362226e-18j),8,5,MEC LV Pyramidal,(0.11099822798901506+0.18746562863966723j),-0.003660901033650433,-0.006182919548308474,0.007185449917648712
49,(0.0009670108373188811-1.1272792367362226e-18j),9,1,MEC LIII Superficial Trilayered Interneuron,(-0.16172185726613084-0.2731330957839263j),-0.015138915414954634,-0.0255682126337014,0.029713974106862898
49,(0.0009670108373188811-1.1272792367362226e-18j),9,2,DG Hilar Ectopic Granule,(-0.15709212778524034-0.2653139155745572j),-0.005307902621707547,-0.008964551234412609,0.0104181096690301
49,(0.0009670108373188811-1.1272792367362226e-18j),9,3,DG Basket,(0.1494277439373766+0.252369487882273j),-0.009505628875842104,-0.01605411838647961,0.018657215695069455
49,(0.0009670108373188811-1.1272792367362226e-18j),9,4,CA1 OR LM,(-0.11535043192135372-0.19481609414641957j),-0.027436771096370122,-0.046338141019086065,0.053851645483674104
49,(0.0009670108373188811-1.1272792367362226e-18j),9,5,MEC LV Pyramidal,(0.11099822798901506+0.18746562863966723j),-0.003504205555401009,-0.00591827553671282,0.006877895165161847
49,(0.0009670108373188811-1.1272792367362226e-18j),10,1,MEC LIII Superficial Trilayered Interneuron,(-0.16172185726613084-0.2731330957839263j),-0.014381057519660043,-0.024288261508941145,0.028226485124975848
49,(0.0009670108373188811-1.1272792367362226e-18j),10,2,DG Hilar Ectopic Granule,(-0.15709212778524034-0.2653139155745572j),-0.005049949309903673,-0.00852889220964167,0.009911810649739176
49,(0.0009670108373188811-1.1272792367362226e-18j),10,3,DG Basket,(0.1494277439373766+0.252369487882273j),-0.009040882116219291,-0.015269204563715156,0.017745031908902097
49,(0.0009670108373188811-1.1272792367362226e-18j),10,4,CA1 OR LM,(-0.11535043192135372-0.19481609414641957j),-0.026147463499780567,-0.044160621039861916,0.05132105121778637
49,(0.0009670108373188811-1.1272792367362226e-18j),10,5,MEC LV Pyramidal,(0.11099822798901506+0.18746562863966723j),-0.0033351227609345548,-0.005632710506251779,0.006546027152230801
50,(-0.0010342261471243297-5.343808139392214e-19j),0,1,MEC LV Superficial Pyramidal,(-0.5193065585052576-0.09423739784108481j),-0.5193065585052576,-0.09423739784108481,0.5277878256064964
50,(-0.0010342261471243297-5.343808139392214e-19j),0,2,CA3 Spiny Lucidum,(0.3219869092240667+0.058430243114024165j),0.3219869092240667,0.058430243114024165,0.327245569904363
50,(-0.0010342261471243297-5.343808139392214e-19j),0,3,CA3 Mossy Fiber Associated,(0.2675690416210166+0.0485551545849427j),0.2675690416210166,0.0485551545849427,0.2719389546768851
