method,seed,length_edges,n_nodes_visited,transition_weight_sum,summed_weight,terminus,path,bb_states_seen,bb_status,bb_score,best_sample_score,mean_sample_score,median_sample_score,sample_score_std,terminal_entropy_bits,top_edge_visit_probability,n_unique_terminals_sampled,n_unique_edges_sampled,n_walks,weight_power,stop_probability,mcts_iterations,mcts_exploration_weight,mcts_rollout_temperature,mcts_states_visited,mcts_best_score,n_samples,temperature
greedy_tree_path,MEC LV VI Pyramidal Polymorphic,17,18,69767.13232928966,69767.13232928966,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> CA1 Pyramidal -> EC LV Deep Pyramidal -> EC LIII V Bipolar Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,,,,,,,,,
greedy_tree_path,SUB CA1 Projecting Pyramidal,16,17,70570.04312511656,70570.04312511656,CA1 Radiatum Giant,SUB CA1 Projecting Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,CA1 Pyramidal,6,7,58407.13279806113,58407.13279806113,CA3 Granule,CA1 Pyramidal -> CA3c Pyramidal -> DG Granule -> EC LI II Pyramidal Fan -> EC LI II Multipolar Pyramidal -> MEC LII Stellate -> CA3 Granule,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,CA1 Radiatum Giant,3,4,99174.25456563932,99174.25456563932,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,CA2 Pyramidal,3,4,101386.52098062955,101386.52098062955,MEC LV VI Pyramidal Polymorphic,CA2 Pyramidal -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,CA3 Granule,7,8,111573.68975652223,111573.68975652223,MEC LV VI Pyramidal Polymorphic,CA3 Granule -> MEC LII Stellate -> EC LI II Multipolar Pyramidal -> EC LI II Pyramidal Fan -> DG Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,CA3 Pyramidal,4,5,113853.82304223813,113853.82304223813,MEC LV VI Pyramidal Polymorphic,CA3 Pyramidal -> CA2 Pyramidal -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,CA3c Pyramidal,2,3,99174.25456563932,99174.25456563932,MEC LV VI Pyramidal Polymorphic,CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,DG Granule,3,4,100976.7660440129,100976.7660440129,MEC LV VI Pyramidal Polymorphic,DG Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,DG Hilar Ectopic Granule,4,5,100976.7660440129,100976.7660440129,MEC LV VI Pyramidal Polymorphic,DG Hilar Ectopic Granule -> DG Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,DG Mossy,4,5,101945.01634302066,101945.01634302066,MEC LV VI Pyramidal Polymorphic,DG Mossy -> DG Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,DG Semilunar Granule,5,6,107100.12214180779,107100.12214180779,MEC LV VI Pyramidal Polymorphic,DG Semilunar Granule -> DG Mossy -> DG Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,EC LI II Multipolar Pyramidal,5,6,110393.82015762746,110393.82015762746,MEC LV VI Pyramidal Polymorphic,EC LI II Multipolar Pyramidal -> EC LI II Pyramidal Fan -> DG Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,EC LI II Pyramidal Fan,4,5,107708.62026478983,107708.62026478983,MEC LV VI Pyramidal Polymorphic,EC LI II Pyramidal Fan -> DG Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,EC LII III Pyramidal Tripolar,6,7,114610.21586127703,114610.21586127703,MEC LV VI Pyramidal Polymorphic,EC LII III Pyramidal Tripolar -> EC LI II Multipolar Pyramidal -> EC LI II Pyramidal Fan -> DG Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
maximum_spanning_tree,EC LIII Pyramidal,6,7,110393.82015762746,110393.82015762746,MEC LV VI Pyramidal Polymorphic,EC LIII Pyramidal -> EC LI II Multipolar Pyramidal -> EC LI II Pyramidal Fan -> DG Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic,,,,,,,,,,,,,,,,,,,,,
