table_type,method,seed,terminal,count,probability
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,EC LV Deep Pyramidal,45,0.0225
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,SUB CA1 Projecting Pyramidal,35,0.0175
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,MEC LIII Bipolar Complex Pyramidal,30,0.015
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,DG Granule,105,0.0525
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,LEC LIII Complex Pyramidal,18,0.009
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,EC LIV VI Deep Multipolar Principal,35,0.0175
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,MEC LV Superficial Pyramidal,25,0.0125
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,EC LIII Pyramidal,18,0.009
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,LEC LVI Multipolar Pyramidal,39,0.0195
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,EC LI II Multipolar Pyramidal,12,0.006
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,EC LIII Stellate,19,0.0095
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,MEC LII Oblique Pyramidal,16,0.008
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,DG Mossy,44,0.022
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,EC LII III Pyramidal Tripolar,21,0.0105
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,MEC LII III Pyramidal Multiform,28,0.014
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,CA1 Radiatum Giant,520,0.26
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,DG Granule,94,0.047
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,MEC LII Oblique Pyramidal,17,0.0085
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,DG Mossy,51,0.0255
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,DG Hilar Ectopic Granule,147,0.0735
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,CA3 Granule,358,0.179
