pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,tau_d
2000,4000,CA3 Pyramidal,CA1 Pyramidal,e,e,6.675
2000,4003,CA3 Pyramidal,CA1 Quadrilaminar,e,i,5.783
2000,4005,CA3 Pyramidal,CA1 LMR,e,i,5.805
2000,4006,CA3 Pyramidal,CA1 Perforant Path Associated,e,i,6.029
2000,4013,CA3 Pyramidal,CA1 Radial Trilaminar,e,i,6.677
2000,4015,CA3 Pyramidal,CA1 Schaffer Collateral Associated,e,i,6.242866569
2000,4023,CA3 Pyramidal,CA1 Back Projection,e,i,5.829
2000,4028,CA3 Pyramidal,CA1 Radiatum,e,i,6.143
2000,4033,CA3 Pyramidal,CA1 SO SO,e,i,7.74
2000,4035,CA3 Pyramidal,CA1 Trilaminar,e,i,5.632
2000,4036,CA3 Pyramidal,CA1 Axo Axonic,e,i,5.305
2000,4038,CA3 Pyramidal,CA1 Horizontal Axo Axonic,e,i,6.628
2000,4039,CA3 Pyramidal,CA1 Horizontal Basket,e,i,5.624
2000,4054,CA3 Pyramidal,CA1 Radiatum Giant,e,e,6.228
2000,4055,CA3 Pyramidal,CA1 Oriens Alveus,e,i,5.306
2000,4061,CA3 Pyramidal,CA1 R Receiving Apical Targeting,e,i,5.868
2000,4066,CA3 Pyramidal,CA1 OR LM,e,i,6.049
2000,4069,CA3 Pyramidal,CA1 O LM,e,i,5.707
2000,4076,CA3 Pyramidal,CA1 Perforant Path Associated QuadD,e,i,6.022
2000,4078,CA3 Pyramidal,CA1 Basket,e,i,5.018
2000,4079,CA3 Pyramidal,CA1 Basket CCK+,e,i,4.589
2000,4080,CA3 Pyramidal,CA1 Bistratified,e,i,5.971
2000,4081,CA3 Pyramidal,CA1 Ivy,e,i,6.238
2000,4083,CA3 Pyramidal,CA1 Oriens Bistratified,e,i,5.509
2000,4087,CA3 Pyramidal,CA1 O LMR,e,i,6.327
2000,4089,CA3 Pyramidal,CA1 Recurrent O LM,e,i,5.708
2001,2000,CA3 Granule,CA3 Pyramidal,e,e,6.999
2001,2004,CA3 Granule,CA3c Pyramidal,e,e,6.204
2001,2005,CA3 Granule,CA3 LMR Targeting,e,i,3.777
2001,2013,CA3 Granule,CA3 Lucidum ORAX,e,i,3.752
2001,2019,CA3 Granule,CA3 Spiny Lucidum,e,i,3.896709203
2001,2028,CA3 Granule,CA3 Axo Axonic,e,i,3.071
2001,2035,CA3 Granule,CA3 Mossy Fiber Associated ORDEN,e,i,3.632
2001,2036,CA3 Granule,CA3 Mossy Fiber Associated,e,i,3.732361811
2001,2043,CA3 Granule,CA3 Basket,e,i,2.677
2001,2044,CA3 Granule,CA3 Basket CCK+,e,i,2.221
2004,1000,CA3c Pyramidal,DG Granule,e,e,6.2
2004,1001,CA3c Pyramidal,DG Semilunar Granule,e,e,4.829
2004,1002,CA3c Pyramidal,DG Mossy,e,e,4.231
2004,1004,CA3c Pyramidal,DG Total Molecular Layer,e,i,4.671
2004,1005,CA3c Pyramidal,DG MOLAX,e,i,4.812
2004,1009,CA3c Pyramidal,DG HICAP,e,i,4.697
2004,1010,CA3c Pyramidal,DG Axo Axonic,e,i,4.314
2004,1013,CA3c Pyramidal,DG HIPP,e,i,5.071
2004,1026,CA3c Pyramidal,DG HIPROM,e,i,4.651
2004,1027,CA3c Pyramidal,DG AIPRIM,e,i,4.383
2004,1035,CA3c Pyramidal,DG Basket,e,i,4.086
2004,1041,CA3c Pyramidal,DG Hilar Ectopic Granule,e,e,4.775
2004,2000,CA3c Pyramidal,CA3 Pyramidal,e,e,8.097
2004,2001,CA3c Pyramidal,CA3 Granule,e,e,4.959
2004,2004,CA3c Pyramidal,CA3c Pyramidal,e,e,7.005
2004,2005,CA3c Pyramidal,CA3 LMR Targeting,e,i,4.661
2004,2009,CA3c Pyramidal,CA3 O LM,e,i,3.994
2004,2013,CA3c Pyramidal,CA3 Lucidum ORAX,e,i,4.843
2004,2020,CA3c Pyramidal,CA3 Trilaminar,e,i,4.492
2004,2028,CA3c Pyramidal,CA3 Axo Axonic,e,i,3.92
2004,2035,CA3c Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,4.777
2004,2036,CA3c Pyramidal,CA3 Mossy Fiber Associated,e,i,4.820853794
2004,2043,CA3c Pyramidal,CA3 Basket,e,i,3.296
2004,2044,CA3c Pyramidal,CA3 Basket CCK+,e,i,3.387
2004,2047,CA3c Pyramidal,CA3 Horizontal Axo Axonic,e,i,4.615
2004,3000,CA3c Pyramidal,CA2 Pyramidal,e,e,4.669
2004,3003,CA3c Pyramidal,CA2 Bistratified,e,i,4.029
2004,3006,CA3c Pyramidal,CA2 Basket,e,i,3.995
2004,3007,CA3c Pyramidal,CA2 Wide Arbor Basket,e,i,4.593
2004,3008,CA3c Pyramidal,CA2 SP SR,e,i,3.72
2004,4000,CA3c Pyramidal,CA1 Pyramidal,e,e,5.698
2004,4003,CA3c Pyramidal,CA1 Quadrilaminar,e,i,4.58
2004,4005,CA3c Pyramidal,CA1 LMR,e,i,4.602
2004,4006,CA3c Pyramidal,CA1 Perforant Path Associated,e,i,4.844
2004,4013,CA3c Pyramidal,CA1 Radial Trilaminar,e,i,5.42
2004,4015,CA3c Pyramidal,CA1 Schaffer Collateral Associated,e,i,5.029048262
2004,4023,CA3c Pyramidal,CA1 Back Projection,e,i,4.674
2004,4028,CA3c Pyramidal,CA1 Radiatum,e,i,4.895
2004,4033,CA3c Pyramidal,CA1 SO SO,e,i,6.387
2004,4035,CA3c Pyramidal,CA1 Trilaminar,e,i,4.526
2004,4036,CA3c Pyramidal,CA1 Axo Axonic,e,i,4.313
2004,4038,CA3c Pyramidal,CA1 Horizontal Axo Axonic,e,i,5.349
2004,4039,CA3c Pyramidal,CA1 Horizontal Basket,e,i,4.522
2004,4054,CA3c Pyramidal,CA1 Radiatum Giant,e,e,5.025
2004,4055,CA3c Pyramidal,CA1 Oriens Alveus,e,i,4.32
2004,4061,CA3c Pyramidal,CA1 R Receiving Apical Targeting,e,i,4.697
2004,4066,CA3c Pyramidal,CA1 OR LM,e,i,4.84
2004,4069,CA3c Pyramidal,CA1 O LM,e,i,4.561
2004,4076,CA3c Pyramidal,CA1 Perforant Path Associated QuadD,e,i,4.852
2004,4078,CA3c Pyramidal,CA1 Basket,e,i,4.041
2004,4079,CA3c Pyramidal,CA1 Basket CCK+,e,i,3.713
2004,4080,CA3c Pyramidal,CA1 Bistratified,e,i,4.826
2004,4081,CA3c Pyramidal,CA1 Ivy,e,i,5.101
2004,4083,CA3c Pyramidal,CA1 Oriens Bistratified,e,i,4.496
2004,4087,CA3c Pyramidal,CA1 O LMR,e,i,5.133
2004,4089,CA3c Pyramidal,CA1 Recurrent O LM,e,i,4.694
2004,5005,CA3c Pyramidal,SUB CA1 Projecting Pyramidal,e,e,4.946
2005,2000,CA3 LMR Targeting,CA3 Pyramidal,i,e,9.563
2005,2001,CA3 LMR Targeting,CA3 Granule,i,e,6.696
2005,2004,CA3 LMR Targeting,CA3c Pyramidal,i,e,8.788
2005,2005,CA3 LMR Targeting,CA3 LMR Targeting,i,i,6.402
2005,2013,CA3 LMR Targeting,CA3 Lucidum ORAX,i,i,6.684
2005,2028,CA3 LMR Targeting,CA3 Axo Axonic,i,i,5.369
2005,2035,CA3 LMR Targeting,CA3 Mossy Fiber Associated ORDEN,i,i,6.627
2005,2036,CA3 LMR Targeting,CA3 Mossy Fiber Associated,i,i,6.995522624
2005,2043,CA3 LMR Targeting,CA3 Basket,i,i,4.448
2005,2044,CA3 LMR Targeting,CA3 Basket CCK+,i,i,4.966
2009,2000,CA3 O LM,CA3 Pyramidal,i,e,8.774
2009,2001,CA3 O LM,CA3 Granule,i,e,6.407
2009,2004,CA3 O LM,CA3c Pyramidal,i,e,7.958
2009,2005,CA3 O LM,CA3 LMR Targeting,i,i,6.085
2009,2009,CA3 O LM,CA3 O LM,i,i,5.716
2009,2013,CA3 O LM,CA3 Lucidum ORAX,i,i,6.377
2009,2020,CA3 O LM,CA3 Trilaminar,i,i,6.261
2009,2028,CA3 O LM,CA3 Axo Axonic,i,i,5.195
2009,2035,CA3 O LM,CA3 Mossy Fiber Associated ORDEN,i,i,6.303
2009,2036,CA3 O LM,CA3 Mossy Fiber Associated,i,i,6.693465719
2009,2043,CA3 O LM,CA3 Basket,i,i,4.34
2009,2044,CA3 O LM,CA3 Basket CCK+,i,i,4.865
2009,2047,CA3 O LM,CA3 Horizontal Axo Axonic,i,i,6.131
2013,2000,CA3 Lucidum ORAX,CA3 Pyramidal,i,e,8.461
2013,2001,CA3 Lucidum ORAX,CA3 Granule,i,e,6.183
2013,2004,CA3 Lucidum ORAX,CA3c Pyramidal,i,e,7.656
2013,2005,CA3 Lucidum ORAX,CA3 LMR Targeting,i,i,5.909
2013,2009,CA3 Lucidum ORAX,CA3 O LM,i,i,5.494
2013,2013,CA3 Lucidum ORAX,CA3 Lucidum ORAX,i,i,6.185
2013,2019,CA3 Lucidum ORAX,CA3 Spiny Lucidum,i,i,6.361910415
