pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,g_ij
2004,3008,CA3c Pyramidal,CA2 SP SR,e,i,1.196
2004,4000,CA3c Pyramidal,CA1 Pyramidal,e,e,1.285
2004,4003,CA3c Pyramidal,CA1 Quadrilaminar,e,i,1.381
2004,4005,CA3c Pyramidal,CA1 LMR,e,i,1.295
2004,4006,CA3c Pyramidal,CA1 Perforant Path Associated,e,i,1.181
2004,4013,CA3c Pyramidal,CA1 Radial Trilaminar,e,i,0.9943
2004,4015,CA3c Pyramidal,CA1 Schaffer Collateral Associated,e,i,1.524091624
2004,4023,CA3c Pyramidal,CA1 Back Projection,e,i,1.34
2004,4028,CA3c Pyramidal,CA1 Radiatum,e,i,1.214
2004,4033,CA3c Pyramidal,CA1 SO SO,e,i,0.7306
2004,4035,CA3c Pyramidal,CA1 Trilaminar,e,i,1.448
2004,4036,CA3c Pyramidal,CA1 Axo Axonic,e,i,1.282
2004,4038,CA3c Pyramidal,CA1 Horizontal Axo Axonic,e,i,1.02
2004,4039,CA3c Pyramidal,CA1 Horizontal Basket,e,i,1.053
2004,4054,CA3c Pyramidal,CA1 Radiatum Giant,e,e,1.445
2004,4055,CA3c Pyramidal,CA1 Oriens Alveus,e,i,1.547
2004,4061,CA3c Pyramidal,CA1 R Receiving Apical Targeting,e,i,1.353
2004,4066,CA3c Pyramidal,CA1 OR LM,e,i,1.335
2004,4069,CA3c Pyramidal,CA1 O LM,e,i,1.025
2004,4076,CA3c Pyramidal,CA1 Perforant Path Associated QuadD,e,i,1.33
2004,4078,CA3c Pyramidal,CA1 Basket,e,i,1.236
2004,4079,CA3c Pyramidal,CA1 Basket CCK+,e,i,1.641
2004,4080,CA3c Pyramidal,CA1 Bistratified,e,i,1.592
2004,4081,CA3c Pyramidal,CA1 Ivy,e,i,1.478
2004,4083,CA3c Pyramidal,CA1 Oriens Bistratified,e,i,1.558
2004,4087,CA3c Pyramidal,CA1 O LMR,e,i,1.031
2004,4089,CA3c Pyramidal,CA1 Recurrent O LM,e,i,1.079
2004,5005,CA3c Pyramidal,SUB CA1 Projecting Pyramidal,e,e,1.188
2005,2000,CA3 LMR Targeting,CA3 Pyramidal,i,e,0.9955
2005,2001,CA3 LMR Targeting,CA3 Granule,i,e,1.612
2005,2004,CA3 LMR Targeting,CA3c Pyramidal,i,e,1.365
2005,2005,CA3 LMR Targeting,CA3 LMR Targeting,i,i,1.273
2005,2013,CA3 LMR Targeting,CA3 Lucidum ORAX,i,i,1.229
2005,2028,CA3 LMR Targeting,CA3 Axo Axonic,i,i,1.315
2005,2035,CA3 LMR Targeting,CA3 Mossy Fiber Associated ORDEN,i,i,1.222
2005,2036,CA3 LMR Targeting,CA3 Mossy Fiber Associated,i,i,1.366110014
2005,2043,CA3 LMR Targeting,CA3 Basket,i,i,1.67
2005,2044,CA3 LMR Targeting,CA3 Basket CCK+,i,i,1.18
2009,2000,CA3 O LM,CA3 Pyramidal,i,e,1.393
2009,2001,CA3 O LM,CA3 Granule,i,e,1.933
2009,2004,CA3 O LM,CA3c Pyramidal,i,e,2.002
2009,2005,CA3 O LM,CA3 LMR Targeting,i,i,1.554
2009,2009,CA3 O LM,CA3 O LM,i,i,1.386
2009,2013,CA3 O LM,CA3 Lucidum ORAX,i,i,1.491
2009,2020,CA3 O LM,CA3 Trilaminar,i,i,1.549
2009,2028,CA3 O LM,CA3 Axo Axonic,i,i,1.579
2009,2035,CA3 O LM,CA3 Mossy Fiber Associated ORDEN,i,i,1.493
2009,2036,CA3 O LM,CA3 Mossy Fiber Associated,i,i,1.586499679
2009,2043,CA3 O LM,CA3 Basket,i,i,1.916
2009,2044,CA3 O LM,CA3 Basket CCK+,i,i,1.387
2009,2047,CA3 O LM,CA3 Horizontal Axo Axonic,i,i,1.642
2013,2000,CA3 Lucidum ORAX,CA3 Pyramidal,i,e,1.216
2013,2001,CA3 Lucidum ORAX,CA3 Granule,i,e,1.811
2013,2004,CA3 Lucidum ORAX,CA3c Pyramidal,i,e,1.731
2013,2005,CA3 Lucidum ORAX,CA3 LMR Targeting,i,i,1.44
2013,2009,CA3 Lucidum ORAX,CA3 O LM,i,i,1.271
2013,2013,CA3 Lucidum ORAX,CA3 Lucidum ORAX,i,i,1.39
2013,2019,CA3 Lucidum ORAX,CA3 Spiny Lucidum,i,i,1.163082946
2013,2020,CA3 Lucidum ORAX,CA3 Trilaminar,i,i,1.428
2013,2028,CA3 Lucidum ORAX,CA3 Axo Axonic,i,i,1.477
2013,2035,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated ORDEN,i,i,1.396
2013,2036,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,i,i,1.525126749
2013,2043,CA3 Lucidum ORAX,CA3 Basket,i,i,1.825
2013,2044,CA3 Lucidum ORAX,CA3 Basket CCK+,i,i,1.286
2013,2047,CA3 Lucidum ORAX,CA3 Horizontal Axo Axonic,i,i,1.54
2013,3007,CA3 Lucidum ORAX,CA2 Wide Arbor Basket,i,i,1.3
2019,1000,CA3 Spiny Lucidum,DG Granule,i,e,2.249825793
2019,1001,CA3 Spiny Lucidum,DG Semilunar Granule,i,e,1.664485211
2019,1004,CA3 Spiny Lucidum,DG Total Molecular Layer,i,i,1.731725826
2019,1005,CA3 Spiny Lucidum,DG MOLAX,i,i,1.639223133
2019,1007,CA3 Spiny Lucidum,DG Neurogliaform,i,i,1.690204502
2019,1008,CA3 Spiny Lucidum,DG MOPP,i,i,1.751586882
2019,1009,CA3 Spiny Lucidum,DG HICAP,i,i,1.200399751
2019,1010,CA3 Spiny Lucidum,DG Axo Axonic,i,i,1.716825553
2019,1026,CA3 Spiny Lucidum,DG HIPROM,i,i,1.910693879
