pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
DG Basket,DG HIPP,i,i,-3307.448188474505,0.01581,-52.29075585978193
DG Basket,DG Basket,i,i,-3726.6449516264424,0.09135,-340.4290163310755
DG Hilar Ectopic Granule,DG Mossy,e,e,55.65027212412001,0.029,1.6138578915994803
DG Hilar Ectopic Granule,DG Total Molecular Layer,e,i,20.139190526124004,0.0744,1.4983557751436258
DG Hilar Ectopic Granule,DG MOLAX,e,i,21.070177923307504,0.0744,1.5676212374940781
DG Hilar Ectopic Granule,DG HICAP,e,i,13.051269097680002,0.21477,2.803021064108734
DG Hilar Ectopic Granule,DG Axo Axonic,e,i,20.703174296805003,0.27069,5.604142250402146
DG Hilar Ectopic Granule,DG HIPP,e,i,33.0826227615,0.01581,0.523036265859315
DG Hilar Ectopic Granule,DG HIPROM,e,i,36.74013136469001,0.03192,1.1727449931609049
DG Hilar Ectopic Granule,DG AIPRIM,e,i,32.258082690048,0.2501,8.067746480781004
DG Hilar Ectopic Granule,DG Basket,e,i,13.97108332568,0.09135,1.276258461800868
DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,e,e,36.289132734400006,0.02539,0.9213810801264162
DG Hilar Ectopic Granule,CA3 Pyramidal,e,e,1.0815884977755004,0.0123,0.013303538522638655
DG Hilar Ectopic Granule,CA3c Pyramidal,e,e,3.215933878920049,0.01712,0.05505678800711124
DG Hilar Ectopic Granule,CA3 LMR Targeting,e,i,0.6936896282839999,0.06811,0.04724720058242324
DG Hilar Ectopic Granule,CA3 Lucidum ORAX,e,i,4.774658693042158,0.31002,1.48023968801693
DG Hilar Ectopic Granule,CA3 Spiny Lucidum,e,i,5.232342806847204,0.03588,0.1877364599096777
DG Hilar Ectopic Granule,CA3 Axo Axonic,e,i,5.947252494326641,0.11589,0.6892270915675144
DG Hilar Ectopic Granule,CA3 Mossy Fiber Associated ORDEN,e,i,3.1031150507166783,0.12381,0.38419667442923194
