triad_id,motif,rees_superpattern,rees_superpattern_name,node_a,node_b,node_c,node_ei_signature,edge_ei_signature,region_signature,region_count,within_region,nonself_edge_count,self_edge_count,edge_count,nonself_total_weight,nonself_total_abs_weight,self_total_weight,self_total_abs_weight,total_weight,total_abs_weight,mean_abs_weight,spectral_radius,max_real,edge_1_pre,edge_1_post,edge_1_pre_class,edge_1_post_class,edge_1_pre_region,edge_1_post_region,edge_1_weight,edge_1_abs_weight,edge_1_edge_type,edge_2_pre,edge_2_post,edge_2_pre_class,edge_2_post_class,edge_2_pre_region,edge_2_post_region,edge_2_weight,edge_2_abs_weight,edge_2_edge_type
T000336,021D,C,single input module,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Oriens Bistratified,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-22.542326160150587,22.542326160150587,0,0,-22.542326160150587,22.542326160150587,11.271163080075294,0.0,0.0,CA1 Oriens Bistratified,CA1 Axo Axonic,i,i,CA1,CA1,-10.649491312645038,10.649491312645038,between_nodes,CA1 Oriens Bistratified,CA1 Horizontal Axo Axonic,i,i,CA1,CA1,-11.89283484750555,11.89283484750555,between_nodes
T000340,021D,C,single input module,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Quadrilaminar,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-1.1290663153012286,1.1290663153012286,0,0,-1.1290663153012286,1.1290663153012286,0.5645331576506143,0.0,0.0,CA1 Quadrilaminar,CA1 Axo Axonic,i,i,CA1,CA1,-0.7223541406843069,0.7223541406843069,between_nodes,CA1 Quadrilaminar,CA1 Horizontal Axo Axonic,i,i,CA1,CA1,-0.4067121746169216,0.4067121746169216,between_nodes
T000342,021D,C,single input module,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Radial Trilaminar,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-20.577710814754088,20.577710814754088,0,0,-20.577710814754088,20.577710814754088,10.288855407377044,0.0,0.0,CA1 Radial Trilaminar,CA1 Axo Axonic,i,i,CA1,CA1,-8.579621274741063,8.579621274741063,between_nodes,CA1 Radial Trilaminar,CA1 Horizontal Axo Axonic,i,i,CA1,CA1,-11.998089540013025,11.998089540013025,between_nodes
T000345,021D,C,single input module,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Recurrent O LM,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-21.070537995502395,21.070537995502395,0,0,-21.070537995502395,21.070537995502395,10.535268997751198,0.0,0.0,CA1 Recurrent O LM,CA1 Axo Axonic,i,i,CA1,CA1,-10.119467086516972,10.119467086516972,between_nodes,CA1 Recurrent O LM,CA1 Horizontal Axo Axonic,i,i,CA1,CA1,-10.951070908985423,10.951070908985423,between_nodes
T000346,021D,C,single input module,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 SO SO,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-107.7493538101091,107.7493538101091,0,0,-107.7493538101091,107.7493538101091,53.87467690505455,0.0,0.0,CA1 SO SO,CA1 Axo Axonic,i,i,CA1,CA1,-18.47372385383599,18.47372385383599,between_nodes,CA1 SO SO,CA1 Horizontal Axo Axonic,i,i,CA1,CA1,-89.27562995627311,89.27562995627311,between_nodes
T000347,021D,C,single input module,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Schaffer Collateral Associated,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-145.63816270056867,145.63816270056867,0,0,-145.63816270056867,145.63816270056867,72.81908135028434,0.0,0.0,CA1 Schaffer Collateral Associated,CA1 Axo Axonic,i,i,CA1,CA1,-91.48417716078622,91.48417716078622,between_nodes,CA1 Schaffer Collateral Associated,CA1 Horizontal Axo Axonic,i,i,CA1,CA1,-54.15398553978245,54.15398553978245,between_nodes
T000348,021D,C,single input module,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Trilaminar,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-180.09809034133374,180.09809034133374,0,0,-180.09809034133374,180.09809034133374,90.04904517066687,0.0,0.0,CA1 Trilaminar,CA1 Axo Axonic,i,i,CA1,CA1,-82.92259656700578,82.92259656700578,between_nodes,CA1 Trilaminar,CA1 Horizontal Axo Axonic,i,i,CA1,CA1,-97.17549377432796,97.17549377432796,between_nodes
T000350,021D,C,single input module,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA2 Bistratified,0E-3I,I->I + I->I,CA1-CA2,2,False,2,0,2,-1.6886483807211978,1.6886483807211978,0,0,-1.6886483807211978,1.6886483807211978,0.8443241903605989,0.0,0.0,CA2 Bistratified,CA1 Axo Axonic,i,i,CA2,CA1,-0.5218317719160458,0.5218317719160458,between_nodes,CA2 Bistratified,CA1 Horizontal Axo Axonic,i,i,CA2,CA1,-1.166816608805152,1.166816608805152,between_nodes
T000351,021D,C,single input module,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA2 Pyramidal,1E-2I,E->I + E->I,CA1-CA2,2,False,2,0,2,13732.459965959997,13732.459965959997,0,0,13732.459965959997,13732.459965959997,6866.229982979999,0.0,0.0,CA2 Pyramidal,CA1 Axo Axonic,e,i,CA2,CA1,7159.1686028088525,7159.1686028088525,between_nodes,CA2 Pyramidal,CA1 Horizontal Axo Axonic,e,i,CA2,CA1,6573.291363151145,6573.291363151145,between_nodes
T000364,021D,C,single input module,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA3 Pyramidal,1E-2I,E->I + E->I,CA1-CA3,2,False,2,0,2,123955.6149162299,123955.6149162299,0,0,123955.6149162299,123955.6149162299,61977.80745811495,0.0,0.0,CA3 Pyramidal,CA1 Axo Axonic,e,i,CA3,CA1,12123.747652838503,12123.747652838503,between_nodes,CA3 Pyramidal,CA1 Horizontal Axo Axonic,e,i,CA3,CA1,111831.8672633914,111831.8672633914,between_nodes
